None,None,Kurs­kod,Nivå,LUt,Språk,Länkar,
EITA01,Introduktion till medicin och teknik,12,G1,-,S,1,2,
FAFA65,Termodynamik| våglära och optik,7.5,G1,-,S,1,2,
FMAA01,Endimensionell analys,15,G1,-,S,1,2,3,
KOKA20,Allmän och organisk kemi,7.5,G1,-,S,3,
EDAA50,Programmeringsteknik,7.5,G1,-,S,3,4,
EXTA56,Verksamhetsförlagd utbildning i sjukvården,5,G1,-,S,3,4,
FMAB20,Linjär algebra,6,G1,-,S,4,
None,None,Kurs­kod,Nivå,LUt,Språk,Länkar,
EXTA70,Cellens biologi,7.5,G1,-,S,1,
FMAB30,Flerdimensionell analys,6,G1,-,S,1,
EXTG50,Människans fysiologi,7.5,G2,-,S,2,
FHLA05,Teknisk mekanik,7.5,G1,X,E,2,
EEMA01,Medicinteknisk design,9,G1,-,S,2,3,
FAFF45,Medicinsk fysik,8,G2,-,S,3,
EITF90,Ellära och elektronik,7.5,G2,-,S,4,
EITA50,Signalbehandling i multimedia,7.5,G1,X,S,4,
None,None,Kurs­kod,Nivå,LUt,Språk,Länkar,
FMSF70,Matematisk statistik,7.5,G2,-,S,1,
EEMF15,Sensorer och mätteknik,7.5,G2,-,S,1,
EXTG05,Biomaterial - Interaktion mellan levande vävnad och syntetiska material,5,G2,-,E,2,
FRTF01,Fysiologiska modeller och beräkningar,5,G2,X,E,2,
EEMF10,Klinisk kemisk diagnostik,5,G2,X,E1,2,
ETIF20,E-hälsa,5,G2,-,S,3,
MVKF20,Transportfenomen i människokroppen,5,G2,-,S,3,
EXTG01,Medicinska bildgivande system,5,G2,-,S,4,
None,None,Kurs­kod,Nivå,Obl./ valfr.,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
EEMN21,Introduktion till mikrofluidik och lab-on-a-chip system,7.5,A,V,4,4,X,E1,1,
FAFF01,Optik och optisk design,7.5,G2,V,4,3,X,E,1,
EXTF90,Produktion av fotoner och neutroner för vetenskap,7.5,G2,V,4,4,X,E,1,
BMEF10,Sensorteknik,7.5,G2,V,4,4,-,S,1,
FAFN01,Lasrar,7.5,A,V,4,3,X,E,2,
FAFN35,Medicinsk optik,7.5,A,V,4,4,X,E,2,
EXTP45,Strålterapifysik,7.5,A,V,4,4,-,S,3,
EEMN15,Ultraljudsfysik och teknik,7.5,A,V,4,4,X,E1,3,
FFFN20,Experimentell biofysik,15,A,V,4,4,X,E,3,4,
KIMN01,Immunteknologi,7.5,A,V,4,4,X,E,4,
EEMN26,Lab-on-a-chip i biomedicinska tillämpningar,7.5,A,V,4,4,X,E1,4,
FAFN25,Atom- och molekylspektroskopi,7.5,A,V,5,4,X,E,1,
EXTQ01,Teoretisk biofysik,7.5,A,V,5,4,X,E,3,
None,None,Kurs­kod,Nivå,Obl./ valfr.,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
FMAN20,Bildanalys,7.5,A,V,4,4,X,E1,1,
BMEN05,Biomekanik,7.5,A,V,4,4,X,E,1,
TNSF05,Rehabiliteringsteknik,7.5,G2,V,4,4,-,S,1,2,
BMEN10,Biomekanik för vävnader,7.5,A,V,4,4,X,E,2,
FMAN30,Medicinsk bildanalys,7.5,A,V,4,4,X,E1,2,
FHLN10,Modern experimentell mekanik ,7.5,A,V,4,4,X,E,2,
BMEF20,Neuroteknik,7.5,G2,V,4,4,-,E,3,
MAMF35,Människan i extrema miljöer,7.5,G2,V,4,4,X,E,3,4,
TNSF10,Universal design| teori och projekt,7.5,G2,V,4,4,X,E1,3,4,
MAMF30,Ergonomi,6,G2,V,4,4,-,S,4,
FHLF20,Finita elementmetoden,7.5,G2,V,4,3,X,E,4,
FHLN05,Beräkningsbaserad materialmodellering,7.5,A,V,5,4,X,E,1,
MAMN25,Interaktionsdesign,7.5,A,V,5,4,-,S,1,
MAMN45,Människa| teknik| organisation och hantering av risker,7.5,A,V,5,4,-,S,1,
FHLN01,Strukturoptimering,7.5,A,V,5,4,X,E,3,
None,None,Kurs­kod,Nivå,Obl./ valfr.,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
FMAN20,Bildanalys,7.5,A,V,4,4,X,E1,1,
EITN60,Optimal och adaptiv signalbehandling,7.5,A,V,4,4,X,E,1,
FMSF10,Stationära stokastiska processer,7.5,G2,V,4,4,X,E,1,
EDAA01,Programmeringsteknik - fördjupningskurs,7.5,G1,V,4,2,-,S,1,2,
EXTQ40,Introduktion till artificiella neuronnätverk och deep learning,7.5,A,V,4,4,-,E1,2,
FMSN45,Matematisk statistik| tidsserieanalys,7.5,A,V,4,4,X,E,2,
FMAN30,Medicinsk bildanalys,7.5,A,V,4,4,X,E1,2,
EITN65,Mätning och modellering av centrala nervsystemets funktion,7.5,A,V,4,4,X,E1,3,
FRTF05,Reglerteknik| allmän kurs,7.5,G2,V,4,2,-,S,3,
BMEN01,Medicinsk signalbehandling,7.5,A,V,4,4,X,E1,4,
EXTP60,Mikroskopi| Bio-imaging,7.5,A,V,4,4,X,E1,4,
EDAP10,Flertrådad programmering,7.5,A,V,5,4,-,S,X,1,
FRTN35,Systemidentifiering,7.5,A,V,5,3,X,E1,1,2,
BMEN15,Signalseparation - oberoende komponenter,7.5,A,V,5,4,X,E,2,
EXTQ20,Biologiska system,7.5,A,V,5,4,-,E1,3,
None,None,Kurs­kod,Nivå,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
EITG05,Digital kommunikation,7.5,G2,4,4,X,E,1,
MIOA12,Industriell ekonomi| allmän kurs,6,G1,4,1,-,S,1,
IYT000,Ingenjörsinriktad yrkesträning,15,G2,4,3,-,S,1,
FMSF15,Markovprocesser,7.5,G2,4,4,X,E,1,
FMAF01,Matematik - Funktionsteori,7,G2,4,4,-,E1,1,
EXTN65,Neurobiologi,15,A,4,4,-,E,1,
FMNN01,Numerisk linjär algebra,7.5,A,4,4,X,E,1,
MMKN35,Produktinnovation,7.5,A,4,4,X,E1,1,
ETSN05,Programvaruutveckling för stora system,7.5,A,4,4,-,S,1,
EITF65,Digitalteknik,9,G2,4,4,-,S,1,2,
FMIN25,Energisystemanalys: energi| miljö och naturresurser,7.5,A,4,4,-,S,1,2,
FMAN70,Matristeori,6,A,4,4,X,E1,1,2,
EIEN45,Tillämpad mekatronik,10,A,4,4,X,E1,1,2,
EXTG55,Biokemi,15,G2,4,4,-,S,2,
EEMN10,Datorbaserade mätsystem,7.5,A,4,4,X,E1,2,
EITF45,Datorkommunikation,7.5,G2,4,4,-,S,2,
FMAA25,Diskret matematik,7.5,G1,4,4,X,E1,2,
MIOA12,Industriell ekonomi| allmän kurs,6,G1,4,1,-,S,2,
IYT000,Ingenjörsinriktad yrkesträning,15,G2,4,3,-,S,2,
EXTA65,Kognition,4.5,G1,4,4,-,S,2,
EDAN10,Konfigurationshantering,7.5,A,4,4,X,E,2,
FMAF05,Matematik - System och transformer,7,G2,4,4,-,E1,2,
EEMF05,Medicinsk mätteknik,7.5,G2,4,4,X,E1,2,
FMEN11,Mekaniska vibrationer,7.5,A,4,4,X,E,2,
FMNN10,Numeriska metoder för differentialekvationer,8,A,4,4,X,E1,2,
FMAN60,Optimering,6,A,4,4,X,E1,2,
FRTN40,Projekt i reglerteknik,7.5,A,4,4,X,E1,2,
FMAN40,Projekt i tillämpad matematik,3,A,4,4,X,E1,2,
EXTN30,Sinnesbiologi,15,A,4,4,-,E,2,
FMSN20,Spatial statistik med bildanalys,7.5,A,4,4,X,E,2,
FMSF60,Statistiska metoder för säkerhetsanalys,7.5,G2,4,4,-,E1,2,
EDAN95,Tillämpad maskininlärning,7.5,A,4,4,X,E,2,
EDAP01,Artificiell intelligens,7.5,A,4,4,X,E,X,3,
EITA25,Datasäkerhet,7.5,G1,4,4,X,S,3,
FMAN85,Datorseende,6,A,4,4,X,E1,3,
FMEN02,Flerkroppsdynamik,7.5,A,4,4,X,E,3,
MIOA01,Industriell ekonomi| allmän kurs,9,G1,4,4,-,S,3,
IYT000,Ingenjörsinriktad yrkesträning,15,G2,4,3,-,S,3,
FMAF35,Linjär och kombinatorisk optimering,6,G2,4,4,X,E1,3,
FMAF01,Matematik - Funktionsteori,7,G2,4,4,-,E1,3,
FMSN50,Monte Carlo-baserade statistiska metoder,7.5,A,4,4,X,E,3,
ETIA10,Patent och annan immaterialrätt,7.5,G1,4,4,X,E,3,
BMEN20,Projektkurs i signalbehandling – från idé till app,7.5,A,4,4,X,E1,3,
MAMN35,Riskanalysmetoder för hälsa- och miljöområdet,7.5,A,4,4,-,S,3,
FMSF05,Sannolikhetsteori,7.5,G2,4,4,X,E,3,
EXTN85,Spridningsmetoder,7.5,A,4,4,X,E,3,
FMSN35,Stationär och icke-stationär spektralanalys,7.5,A,4,4,X,E,X,3,
EXTG45,Teknikstödd kommunikation,7.5,G2,4,4,-,S,3,
FMAF10,Tillämpad matematik - Linjära system,5,G2,4,4,-,S,3,
EITN85,Trådlösa kanaler,7.5,A,4,4,X,E,3,
EDAF90,Webbprogrammering,7.5,G2,4,4,X,S,3,
EDAF50,C++ - programmering,7.5,G2,4,3,X,S,3,4,
EDAF75,Databasteknik,7.5,G2,4,4,X,S,3,4,
FRTN15,Prediktiv reglering,7.5,A,4,4,X,E1,3,4,
FRTN01,Realtidssystem,10,A,4,4,X,E,3,4,
EITA05,Teknikhistoria,4.5,G1,4,1,-,S,3,4,
EXTG55,Biokemi,15,G2,4,4,-,S,4,
FHLN25,Brottmekanik| fortsättningskurs,7.5,A,4,4,X,E,4,
EDAA25,C-programmering,3,G1,4,4,X,S,4,
MMTF25,CAD/CAM/CAE,7.5,G2,4,4,X,E1,4,
FMAA25,Diskret matematik,7.5,G1,4,4,X,E1,4,
MIOF20,Företagsorganisation,6,G2,4,4,-,S,4,
FMSF65,Försöksplanering,7.5,G2,4,4,X,E,4,
EDAN40,Funktionsprogrammering,7.5,A,4,3,X,E,4,
IYT000,Ingenjörsinriktad yrkesträning,15,G2,4,3,-,S,4,
FMFN05,Kaos,7.5,A,4,4,X,E1,4,
FMSN30,Linjär och logistisk regression,7.5,A,4,4,X,E,4,
FMAN45,Maskininlärning,7.5,A,4,4,-,E,4,
FMAF05,Matematik - System och transformer,7,G2,4,4,-,E1,4,
EEMN01,Mikrosensorer,7.5,A,4,4,X,E1,4,
FMNF10,Numerisk analys,6,G2,4,4,X,E1,4,
FMAN40,Projekt i tillämpad matematik,3,A,4,4,X,E1,4,
ETIF10,Signalbehandling - design och implementering,7.5,G2,4,4,X,E1,4,
EITF05,Webbsäkerhet,4,G2,5,4,-,S,1,
EITN41,Avancerad webbsäkerhet,7.5,A,5,4,-,S,2,
EEMN05,EMC| störningar och störningsbegränsning,7.5,A,5,4,X,E1,2,
FHLN20,Finita elementmetoden - olinjära system,7.5,A,5,4,X,E,2,
None,None,Kurs­kod,Nivå,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
GEMA20,Engelska för tekniker,7.5,G1,4,1,-,E,X,1,2,
GEMA70,Japanska för tekniker,15,G1,4,1,-,S,X,1,2,
GEMA25,Tyska för tekniker,7.5,G1,4,1,-,S,X,1,2,
GEMA20,Engelska för tekniker,7.5,G1,4,1,-,E,X,3,4,
GEMA01,Franska för tekniker: språk| kultur och samhällsliv| grundkurs,7.5,G1,4,1,-,S,X,3,4,
GEMA65,Kinesiska för tekniker,7.5,G1,4,1,-,S,X,3,4,
None,None,Länkar,
KS,None,15,
None,None,Länkar,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
KS,None,30,
